Lon_S;Lat_S;Lon_M;Lat_M;Lon_E;Lat_E;Fecha;Hora;Minimum_integration_threshold;Frequency;Exclude_below_line_depth_max;Transecta;UBM;NASC_mezcla_MS.MC;NASC_Unclassified_regions;P_Card_mezcla_MS.MC;P_Card_Unclassified_regions;N_Card_mezcla_MS.MC;N_Card_Unclassified_regions;Distancia_al_lance_asociado;Lance;Relinga_inferior_media;sA_Merluza_Austral;sA_Merluza_Cola;sA_Merluza 3 Aletas;sA_Reineta;sA_Jibia;sA_Congrio Dorado;sA_Sierra;sA_Brótula;sA_Tollo pajarito;sA_Granadero chileno;sA_Willy;sA_Gutigaudido;sA_Cojinoba gris;sA_Cojinoba moteada;sA_Tollo negro raspa;sA_Tollo cacho;sA_Tollo negro narigón;sA_Tollo Negro Peine;sA_Mictofidos;sA_Calamar
-74.41995667;-43.50046333;-74.42540037;-43.49917991;-74.43091825;-43.49859797;20250807; 02:42:23.8490;-65;38;126.335892;ACUST0001;1;0;0;0;0;0;0;19.07831321;2;416.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.43096759;-43.4986066;-74.43659136;-43.49821125;-74.44229206;-43.49758335;20250807; 02:45:27.4080;-65;38;138.949661;ACUST0001;2;0;0;0;0;0;0;18.88925803;2;416.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.44235153;-43.49757754;-74.44796203;-43.4966708;-74.4535252;-43.49617573;20250807; 02:48:32.9330;-65;38;153.060776;ACUST0001;3;0;0;0;0;0;0;18.72954701;2;416.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.45358887;-43.49617224;-74.45926834;-43.49596107;-74.46503263;-43.49569293;20250807; 02:51:36.4870;-65;38;175.426331;ACUST0001;4;0;0;0;0;0;0;18.5588812;2;416.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.46509216;-43.49568558;-74.4705381;-43.49486146;-74.4762962;-43.49423827;20250807; 02:54:40.0750;-65;38;174.807312;ACUST0001;5;33.027526;0;164.674385;0;1;0;18.41695741;2;416.4;3.994574407;29.03295159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.47635726;-43.49423506;-74.48199264;-43.49396667;-74.4877228;-43.49360194;20250807; 02:57:43.6740;-65;38;176.830582;ACUST0001;6;9.59363;0;169.053683;0;1;0;18.28004819;2;416.4;1.160319089;8.433310911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.48778331;-43.49359614;-74.49333615;-43.49269624;-74.49896649;-43.49203615;20250807; 03:00:46.3060;-65;38;181.159241;ACUST0001;7;7.469251;0;171.652258;0;1;0;18.17560798;2;416.4;0.903382193;6.565868807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.49902759;-43.492035;-74.50470975;-43.49200488;-74.51041218;-43.49156775;20250807; 03:03:48.9320;-65;38;179.540802;ACUST0001;8;5.066919;0;167.694477;0;1;0;18.06299216;2;416.4;0.612827766;4.454091234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.51047011;-43.4915611;-74.51600595;-43.49064015;-74.52159771;-43.48980231;20250807; 03:06:51.5500;-65;38;177.494415;ACUST0001;9;8.673812;0;163.728089;0;1;0;17.99674973;2;416.4;1.049070022;7.624741978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.52165966;-43.48979185;-74.52731278;-43.48940782;-74.53300813;-43.48924946;20250807; 03:09:54.1680;-65;38;184.637527;ACUST0001;10;7.918997;0;168.877869;0;1;0;17.942068;2;416.4;0.957777544;6.961219456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.53306897;-43.48922785;-74.53865954;-43.48842474;-74.54416433;-43.48741745;20250807; 03:12:56.7980;-65;38;183.252625;ACUST0001;11;9.726959;0;169.748356;0;1;0;17.89234806;2;416.4;1.176444808;8.550514192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.54423124;-43.4874087;-74.54982956;-43.48691703;-74.55560893;-43.48682077;20250807; 03:15:58.4630;-65;38;184.588699;ACUST0001;12;26.922612;0;167.05615;0;1;0;17.88745691;2;416.4;3.256204442;23.66640756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.55567382;-43.48681492;-74.56122739;-43.48620732;-74.56679165;-43.48530807;20250807; 03:19:02.0680;-65;38;180.180267;ACUST0001;13;83.193081;0;161.089836;0;1;0;17.85739751;2;416.4;10.06193901;73.13114199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.56685346;-43.48529832;-74.5725819;-43.48480397;-74.5782016;-43.48481234;20250807; 03:22:05.6630;-65;38;179.567444;ACUST0001;14;192.177671;0;159.850006;0;1;0;17.88168116;2;416.4;23.24327914;168.9343919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.57826114;-43.4848126;-74.5838241;-43.4843545;-74.58935705;-43.48319469;20250807; 03:25:09.2530;-65;38;179.036423;ACUST0001;15;166.251646;0;162.635294;0;1;0;17.87056419;2;416.4;20.10760873;146.1440373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.58941207;-43.48319258;-74.59500043;-43.48239855;-74.60072282;-43.48201333;20250807; 03:28:12.8550;-65;38;179.346542;ACUST0001;16;500.560656;0;157.827006;0;1;0;17.96235558;2;416.4;60.54122206;440.0194339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-74.60078949;-43.48201205;-74.60638585;-43.48164389;-74.61192856;-43.48049773;20250807; 03:31:15.4870;-65;38;183.506638;ACUST0001;17;561.15897;0;163.766123;0;1;0;18.00147244;2;416.4;67.87039574;493.2885743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
