lance_id;especie;captura_k;Año
1;M_Sur;0;2025
1;M_Cola;11.59;2025
1;Otros;0.82;2025
2;M_Sur;900.255;2025
2;M_Cola;9160;2025
2;Otros;86.04;2025
3;M_Sur;202.955;2025
3;M_Cola;1213;2025
3;Otros;124.87;2025
4;M_Sur;456.796;2025
4;M_Cola;4922;2025
4;Otros;77.19;2025
5;M_Sur;138.019;2025
5;M_Cola;614;2025
5;Otros;40.18;2025
6;M_Sur;154.699;2025
6;M_Cola;543;2025
6;Otros;28.32;2025
7;M_Sur;155.9;2025
7;M_Cola;6057;2025
7;Otros;0.071;2025
8;M_Sur;293.191;2025
8;M_Cola;589;2025
8;Otros;25.489;2025
9;M_Sur;71.68;2025
9;M_Cola;610;2025
9;Otros;0;2025
10;M_Sur;162.375;2025
10;M_Cola;54.13;2025
10;Otros;76.762;2025
11;M_Sur;114.4;2025
11;M_Cola;30.21;2025
11;Otros;24.278;2025
12;M_Sur;261.835;2025
12;M_Cola;436;2025
12;Otros;68.078;2025
13;M_Sur;18.82;2025
13;M_Cola;193;2025
13;Otros;11.615;2025
14;M_Sur;188.47;2025
14;M_Cola;17.665;2025
14;Otros;9.191;2025
15;M_Sur;55.955;2025
15;M_Cola;164;2025
15;Otros;6.063;2025
16;M_Sur;140.43;2025
16;M_Cola;6.15;2025
16;Otros;4.968;2025
17;M_Sur;83.24;2025
17;M_Cola;142;2025
17;Otros;1.948;2025
18;M_Sur;149.94;2025
18;M_Cola;13.61;2025
18;Otros;19.508;2025
19;M_Sur;42.435;2025
19;M_Cola;0.77;2025
19;Otros;14.018;2025
20;M_Sur;232.08;2025
20;M_Cola;31.587;2025
20;Otros;43.987;2025
21;M_Sur;375.425;2025
21;M_Cola;8040;2025
21;Otros;11.47;2025
22;M_Sur;326.175;2025
22;M_Cola;768;2025
22;Otros;200.582;2025
23;M_Sur;335.835;2025
23;M_Cola;120.38;2025
23;Otros;4779.61;2025
24;M_Sur;798.093;2025
24;M_Cola;292.4;2025
24;Otros;298.31;2025
